Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,exact,7979,0,48,144.23975576091615,7.635417161509395,763.0769580136985,304.0,66.93542509412603,0.0,48,76,150,330,510,560,610,630,680,760,760
POST,miss,2568,0,48,142.92499599644677,7.683333940804005,692.9459169041365,304.0,21.542821361287835,0.0,48,75,140,320,510,560,600,630,670,690,690
POST,semantic,2668,0,48,144.20978856687344,8.074333891272545,762.7974590286613,304.0,22.38171627411057,0.0,48,75,140,330,510,560,610,640,680,760,760
,Aggregated,13215,0,48,143.9782154242636,7.635417161509395,763.0769580136985,304.0,110.85996272952444,0.0,48,76,150,330,510,560,610,630,680,760,760
