Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,exact,1030,0,53,105.52831578104603,5.656583001837134,15227.865665918216,589.8456310679612,1.7177173169102564,0.0,53,78,94,100,120,130,140,260,5300,15000,15000
POST,miss,333,1,2800,3332.051389226998,26.153875049203634,30175.514040980488,522.3483483483484,0.5553396762438013,0.0016676867154468509,2800,4400,5300,5800,8000,9300,12000,18000,30000,30000,30000
POST,semantic,332,0,77,183.6266431961691,7.458750158548355,12628.213500138372,577.4156626506024,0.5536719895283545,0.0,78,96,110,120,140,170,2500,3800,13000,13000,13000
,Aggregated,1695,1,70,754.7087453735668,5.656583001837134,30175.514040980488,574.1504424778761,2.826728982682412,0.0016676867154468509,70,100,120,130,3300,5300,8300,9300,27000,30000,30000
